"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"27-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573871254920959,0,0,0,0,0
"6-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931897461414337,0,0,0,0,0,0,0,0,0
"9-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798769295215607,0,0,0,0,0,0,0,0,0
"11-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62215900421143
"12-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592329204082489,0,0,0,0,0
"21-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Feb",0,0,0,0,0,0,0,1.60813319683075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Feb",,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
"1-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95961213111877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Mar",0,0,0,0,0,0,0,0,0,0,0.58474212884903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09928560256958,0,0,0,0,0,0,0,0,0,0,0,0
"14-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619082868099213,0,0,0,0,0
"15-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619082868099213,0,0,0,0,0
"16-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59343409538269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-Mar",0,0,0,0,0,0,0,0,2.57188010215759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Mar",0,0,0,0,0,0,0,0,2.56640076637268,0,0,0,0,0.934938728809357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Mar",3.78538155555725,0,0,0,0,0,0,0,0,0,0,0,1.43694770336151,0,0,0,2.7267632484436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Mar",0,0,0,0,0,0,0,0,0,0,0,0,2.87389540672302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-Mar",0,0,0,0,0,0,0,0,0,0,0,0,1.43694770336151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24258100986481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67445528507233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Mar",0,0,0,5.32271289825439,0,0,0,0,0,0,0,0,0,0,0,3.34891057014465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Mar",0,0,0,0,4.38908720016479,0,0,0,0,2.3299286365509,0,0,0,3.07960724830627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Mar",0,0,0,0,0,0,0,0,0,4.18550062179565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Mar",0,0,0,0,0,0,0,2.56455636024475,0,0,0,0,0,3.07960724830627,2.57477402687073,0,0,0,2.58124685287476,0,0,0,0,0,0,0,0,0,2.83093643188477,0,0,0,0,0,0
"31-Mar",0,0,0,0,0,0,0,2.56455636024475,0,0,4.5709662437439,0,0,0,2.57477402687073,0,0,0,2.58124685287476,0,0,0,0,0,0,0,0,0,0,2.00180053710938,0,0,0,0,0
"1-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78789329528809,0,0,0,0,0,0,0,0,0,0,0
"2-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Apr",0,0,0,0,0,0,0,0,0,8.19432640075684,0,0,0,0,0,0,0,0,0,0,0,3.46473789215088,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Apr",0,0,0,0,0,0,0,0,0,2.29441094398499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Apr",0,0,0,0,0,0,0,0,0,0,2.8758373260498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63103199005127,0,0,0,0,0,0,0,0,0,0,0
"8-Apr",0,0,0,0,2.16384649276733,0,0,0,0,0,0,0,0,0,6.20854663848877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4389724731445,0,0,0
"10-Apr",0,5.31570291519165,0,0,0,0,3.34743642807007,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05161798000336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Apr",0,0,0,0,0,0,3.65637826919556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46972560882568,0,0,0,0,0,0,0,0,0,0
"12-Apr",5.23562288284302,0,0,0,0,0,1.21879267692566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Apr",5.23562288284302,0,8.37201118469238,0,0,0,0,0,0,0,0,0,0,0,0,6.96574449539185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38566970825195,0,0,0,0,0,0,0,11.0784664154053,0,0,0,0,0,0,0,8.1082878112793
"15-Apr",0,0,0,0,0,0,0,3.67927193641663,0,0,0,0,0,0,0,0,0,0,6.15505218505859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-Apr",5.17258358001709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66173982620239,0,0,0,0,2.32207560539246,0,0,0,0,2.09604072570801,3.31801390647888,0,0,0,0,0
"17-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97838747501373,0,0,0,0,0,0,0,0,0
"18-Apr",0,5.44360494613647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44917726516724,0,0,0,0,0,0,0,6.89495420455933,0,0,0,0,0,0,0,0,0,0
"20-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15663146972656,0,0,0,0,0,0,2.97545194625854,0,0,0,0,0,0,0,0,3.00231695175171,0
"22-Apr",0,0,0,2.48637557029724,0,0,0,0,0,0,0,0,0,0,0,0,4.62786436080933,6.15663146972656,0,0,0,0,3.15336394309998,0,0,0,0,0,0,0,0,0,0,3.00231695175171,0
"23-Apr",0,0,0,1.24318778514862,0,0,0,0,0,0,0,0,0,0,0,0,4.62786436080933,7.03615045547485,0,0,0,2.9093599319458,0,0,0,0,0,0,0,0,6.19100332260132,0,0,0,0
"24-Apr",5.31567287445068,0,0,4.97275114059448,0,0,0,0,0,0,0,3.30800986289978,0,0,0,0,0,0,0,0,0,0,0,0,2.97545194625854,0,0,0,0,0,0,0,0,0,0
"25-Apr",0,0,0,7.4591269493103,0,0,0,0,0,0,0,0,0,0,0,0,9.25572872161865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Apr",0,0,0,7.29022169113159,2.73590993881226,0,0,0,0,0,5.80968618392944,11.2949209213257,0,0,3.71767425537109,0,0,0,0,0,0,0,0,0,0,0,4.01639795303345,0,14.2061815261841,0,13.1547412872314,0,0,0,0
"27-Apr",0,0,0,0,0,0,0,0,0,0,5.80968618392944,0,0,0,0,4.71848392486572,0,0,6.86674690246582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Apr",0,0,0,0,0,0,0,0,0,0,5.80968618392944,0,0,15.2057342529297,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74085712432861,0,0,0,0,4.28243255615234,6.26540899276733,0
"29-Apr",0,0,0,0,0,4.79078483581543,13.6919374465942,12.7121829986572,0,0,23.2387447357178,0,13.8980484008789,0,0,0,0,0,0,24.3315296173096,6.50734710693359,0,0,0,4.84978199005127,30.5653228759766,0,9.74085712432861,0,3.13138103485107,0,0,2.17812442779541,0,0
"30-Apr",0,0,9.12857151031494,0,8.77377986907959,6.06832695007324,0,0,17.9873447418213,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12183666229248,0,0,0,0,0,0,0,0,0,0,0,0
"1-May",32.986385345459,0,0,0,9.0539608001709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8208475112915,0,0,0,0,0,0,0
"2-May",0,0,5.95332717895508,0,9.0539608001709,0,0,0,0,0,19.6322708129883,0,0,25.4602565765381,0,0,0,8.79358863830566,0,15.4341402053833,0,0,0,0,0,0,0,0,0,3.92435646057129,0,0,0,0,0
"3-May",0,8.73044395446777,6.55294370651245,0,0,0,0,0,0,0,0,0,0,29.0974388122559,0,0,0,0,0,0,0,0,0,3.90147423744202,0,0,19.9256858825684,23.641695022583,0,3.92435646057129,0,0,0,0,0
"4-May",16.4931926727295,34.9217758178711,0,0,0,0,0,0,0,14.4630088806152,0,0,0,0,0,0,0,0,24.8484477996826,7.71707010269165,0,0,0,3.90147423744202,0,0,0,0,0,0,0,9.00885105133057,0,0,12.8745031356812
"5-May",16.4931926727295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7108926773071,3.92435646057129,0,9.00885105133057,0,0,0
"6-May",0,0,0,0,0,0,0,0,0,0,12.6222448348999,0,0,0,9.76154804229736,11.7093362808228,0,0,9.33144474029541,0,0,0,0,0,0,0,18.1102466583252,0,0,0,0,0,0,0,3.79722309112549
"7-May",0,0,8.52113437652588,0,0,0,0,0,7.27366733551025,0,0,0,0,22.2553577423096,0,11.7093362808228,0,0,27.9943370819092,0,7.25069665908813,0,0,0,0,8.22870540618896,18.1102466583252,0,0,0,0,19.8107662200928,27.3666172027588,0,3.79722309112549
"8-May",0,0,0,0,0,0,0,0,0,9.29561138153076,0,0,0,22.2553577423096,9.76154804229736,0,0,0,9.33144474029541,0,8.2865104675293,0,0,0,0,0,0,0,0,0,0,9.90538311004639,0,0,0
"9-May",0,7.64766025543213,0,0,0,0,0,0,0,0,0,0,0,0,9.76154804229736,0,0,0,9.33144474029541,0,0,0,6.52513933181763,0,0,0,0,0,0,0,11.8947858810425,0,0,13.2999582290649,0
"10-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76154804229736,0,0,0,9.33144474029541,0,7.25069665908813,0,6.52513933181763,0,0,0,18.1102466583252,19.4676170349121,0,0,0,0,0,6.64997911453247,0
"11-May",0,0,0,0,0,0,0,0,26.604455947876,0,0,0,0,13.4211530685425,13.2715187072754,0,0,0,24.6157474517822,6.42710542678833,6.7855863571167,0,0,0,0,0,0,7.01788425445557,0,0,0,0,0,19.0500049591064,0
"12-May",0,0,0,0,0,0,0,0,13.302227973938,0,0,7.34401369094849,0,0,0,0,0,0,0,12.8542108535767,13.5711727142334,0,0,17.9360790252686,0,0,16.4341735839844,0,14.4157152175903,0,0,0,16.5059280395508,0,0
"13-May",0,12.6495237350464,0,0,0,0,0,9.17051219940186,0,0,0,0,0,0,0,0,0,0,0,0,7.75495624542236,9.38467216491699,11.2839117050171,0,0,19.5352573394775,0,7.01788425445557,0,0,9.97550106048584,0,0,0,10.8025197982788
"14-May",0,14.4565992355347,0,0,0,0,0,0,13.302227973938,0,0,0,0,13.4211530685425,11.6125783920288,0,0,0,0,0,0,18.769344329834,0,0,0,0,12.521276473999,35.0894203186035,0,0,19.9510021209717,0,16.5059280395508,0,0
"15-May",0,0,0,5.26258659362793,0,0,0,9.17051219940186,0,30.4152927398682,0,0,0,26.842306137085,0,9.47951507568359,0,0,12.3078737258911,6.42710542678833,0,9.38467216491699,12.8958988189697,0,0,19.5352573394775,10.9561157226562,16.0408802032471,0,0,0,0,0,0,0
"16-May",0,0,0,6.10063409805298,0,0,7.24911165237427,0,23.1002922058105,20.7307243347168,0,0,0,17.1942405700684,0,0,6.06403064727783,0,0,0,0,0,0,13.9220008850098,0,0,8.32340145111084,36.5954246520996,0,0,9.20649337768555,14.1886396408081,0,0,10.1643943786621
"17-May",12.6701536178589,0,0,3.46059417724609,8.46509647369385,0,0,83.3243255615234,0,0,0,0,0,0,40.4098854064941,0,0,0,0,0,0,23.8509178161621,13.7240829467773,0,0,0,16.6468029022217,0,0,0,18.4129867553711,0,0,3.66929078102112,0
"18-May",0,0,0,0,0,7.46668195724487,0,23.8069496154785,0,0,0,6.38235282897949,0,0,0,0,0,0,0,0,0,31.8012218475342,24.0171451568604,0,0,0,16.6468029022217,0,0,10.3755960464478,9.20649337768555,7.09431982040405,0,0,0
"19-May",0,0,0,0,0,0,0,11.9034748077393,0,0,0,19.1470603942871,0,0,0,26.6206836700439,24.2561225891113,31.0792980194092,0,17.7709732055664,0,23.8509178161621,24.0171451568604,41.7660026550293,0,0,16.6468029022217,18.2977123260498,0,20.7511920928955,9.20649337768555,0,0,0,30.4931831359863
"20-May",0,6.95143604278564,4.52631282806396,4.42385196685791,0,0,0,11.9034748077393,0,0,0,6.38235282897949,0,0,0,26.6206836700439,13.8606424331665,62.1585960388184,12.1117649078369,0,22.5305805206299,7.95030546188354,0,6.96100044250488,6.50820016860962,0,0,0,0,0,18.4129867553711,14.1886396408081,0,0,0
"21-May",7.00598955154419,0,0,0,8.42659091949463,10.4459085464478,0,0,0,6.90767574310303,0,5.84184598922729,12.7704792022705,0,0,13.611026763916,15.6250104904175,5.23449039459229,11.4877471923828,0,0,0,0,11.698130607605,0,0,12.6936883926392,0,0,6.21582221984863,14.0871820449829,0,0,5.04988861083984,0
"22-May",7.00598955154419,9.57208251953125,1.47477066516876,0,0,0,0,7.40318727493286,9.68794441223145,0,0,0,12.7704792022705,0,0,0,0,0,5.74387359619141,7.11874771118164,0,20.4139595031738,0,0,10.23863697052,12.8112497329712,12.6936883926392,0,0,0,0,8.13623714447021,0,0,13.169677734375
"23-May",7.00598955154419,4.78604125976562,0,0,4.21329545974731,9.14017009735107,0,7.40318727493286,0,20.7230262756348,0,0,0,0,0,20.416540145874,0,0,0,21.3562450408936,0,0,0,11.698130607605,0,19.2168750762939,0,0,17.8604907989502,6.21582221984863,14.0871820449829,8.13623714447021,0,0,0
"24-May",14.0119791030884,4.78604125976562,0,8.21592235565186,21.066478729248,9.14017009735107,0,7.40318727493286,0,0,0,0,0,0,0,13.611026763916,0,0,0,21.3562450408936,0,0,0,0,10.23863697052,6.4056248664856,0,0,0,37.2949333190918,0,0,0,0,0
"25-May",0,4.78604125976562,0,0,33.7063636779785,0,0,0,0,0,0,0,0,0,0,6.80551338195801,0,0,0,42.7124900817871,0,0,2.62078928947449,0,0,6.4056248664856,0,0,0,31.0791130065918,0,0,0,0,0
"26-May",12.05237865448,0,5.93623018264771,0,11.1580009460449,0,7.05055952072144,0,0,0,0,0,0,0,0,0,0,0,0,17.614049911499,4.48403453826904,0,0,0,0,0,0,0,4.60792016983032,0,0,0,0,0,0
"27-May",6.02618932723999,0,5.93623018264771,0,5.57900047302246,0,0,0,0,0,0,0,9.74917411804199,16.061882019043,0,12.6553707122803,0,20.166389465332,0,0,3.92353010177612,10.8013572692871,5.67332124710083,8.98047542572021,8.19678592681885,9.7792854309082,0,0,4.60792016983032,0,10.1421232223511,0,0,0,0
"28-May",0,0,17.8086891174316,0,0,0,0,0,6.99466848373413,0,0,0,9.74917411804199,16.061882019043,0,0,0,0,5.71533012390137,8.80702495574951,11.7705898284912,0,0,17.9609508514404,0,9.7792854309082,0,0,13.8237600326538,0,0,0,3.21209239959717,0,0
